layer_index,total_layers,layer,in_channels,out_channels,kernel_size,ratio,masked_filters,baseline_mAP50,trial_mAP50,mAP50_drop,baseline_mAP50_95,trial_mAP50_95,mAP50_95_drop
42,87,model.13.cv2.conv,384,256,1x1,0.1,26,0.6098954756338529,0.5975742304066289,0.012321245227223998,0.44500594855532555,0.4349720966835863,0.010033851871739274
43,87,model.13.m.0.cv1.conv,128,64,3x3,0.1,6,0.6098954756338529,0.605491268932323,0.004404206701529967,0.44500594855532555,0.44136167366690343,0.0036442748884221166
44,87,model.13.m.0.cv2.conv,64,128,3x3,0.1,13,0.6098954756338529,0.5998441536329517,0.010051322000901197,0.44500594855532555,0.4345756997339546,0.010430248821370947
45,87,model.16.cv1.conv,512,128,1x1,0.1,13,0.6098954756338529,0.6044587732912567,0.005436702342596189,0.44500594855532555,0.43802324163520523,0.0069827069201203185
46,87,model.16.cv2.conv,192,128,1x1,0.1,13,0.6098954756338529,0.5797032977831973,0.030192177850655644,0.44500594855532555,0.4269545463305734,0.018051402224752156
47,87,model.16.m.0.cv1.conv,64,32,3x3,0.1,3,0.6098954756338529,0.6019937308624457,0.00790174477140726,0.44500594855532555,0.435832371562938,0.009173576992387522
48,87,model.16.m.0.cv2.conv,32,64,3x3,0.1,6,0.6098954756338529,0.6079689293935939,0.0019265462402590083,0.44500594855532555,0.44185308100435156,0.0031528675509739923
49,87,model.17.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6086536374285292,0.001241838205323753,0.44500594855532555,0.4426330768012612,0.002372871754064365
50,87,model.19.cv1.conv,384,256,1x1,0.1,26,0.6098954756338529,0.6076259912388055,0.002269484395047483,0.44500594855532555,0.44099393572247225,0.004012012832853296
51,87,model.19.cv2.conv,384,256,1x1,0.1,26,0.6098954756338529,0.6090214164727124,0.0008740591611405835,0.44500594855532555,0.440401636361903,0.004604312193422555
52,87,model.19.m.0.cv1.conv,128,64,3x3,0.1,6,0.6098954756338529,0.6088400819992453,0.0010553936346076043,0.44500594855532555,0.4415280530960199,0.0034778954593056577
53,87,model.19.m.0.cv2.conv,64,128,3x3,0.1,13,0.6098954756338529,0.6092067629457756,0.0006887126880773531,0.44500594855532555,0.4428918187968536,0.002114129758471972
54,87,model.20.conv,256,256,3x3,0.1,26,0.6098954756338529,0.6094182161651831,0.0004772594686698328,0.44500594855532555,0.4429589541450204,0.0020469944103051474
55,87,model.22.cv1.conv,768,512,1x1,0.1,51,0.6098954756338529,0.609144954551812,0.0007505210820409891,0.44500594855532555,0.4407599398845646,0.00424600867076097
56,87,model.22.cv2.conv,768,512,1x1,0.1,51,0.6098954756338529,0.6095625284520544,0.00033294718179854854,0.44500594855532555,0.44076002776035117,0.004245920794974378
57,87,model.22.m.0.cv1.conv,256,128,1x1,0.1,13,0.6098954756338529,0.6103685431468303,-0.0004730675129773765,0.44500594855532555,0.44436487930344243,0.0006410692518831196
58,87,model.22.m.0.cv2.conv,256,128,1x1,0.1,13,0.6098954756338529,0.6099071628887108,-1.1687254857895013e-05,0.44500594855532555,0.4449621167297915,4.3831825534024205e-05
59,87,model.22.m.0.cv3.conv,256,256,1x1,0.1,26,0.6098954756338529,0.609999702859066,-0.0001042272252130827,0.44500594855532555,0.4418750783152196,0.003130870240105943
60,87,model.22.m.0.m.0.cv1.conv,128,128,3x3,0.1,13,0.6098954756338529,0.609787317278238,0.00010815835561495124,0.44500594855532555,0.44247545716226794,0.00253049139305761
61,87,model.22.m.0.m.0.cv2.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6094535480900408,0.0004419275438121151,0.44500594855532555,0.4420578692528042,0.0029480793025213337
62,87,model.22.m.0.m.1.cv1.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6096877263742495,0.00020774925960342916,0.44500594855532555,0.442453924818125,0.002552023737200537
63,87,model.22.m.0.m.1.cv2.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6100878023692271,-0.0001923267353741709,0.44500594855532555,0.44303025443535465,0.0019756941199708944
64,87,model.23.cv2.0.0.conv,128,64,3x3,0.1,6,0.6098954756338529,0.6092792009135012,0.0006162747203517505,0.44500594855532555,0.4428863720807111,0.0021195764746144707
65,87,model.23.cv2.0.1.conv,64,64,3x3,0.1,6,0.6098954756338529,0.6086791993888107,0.0012162762450422804,0.44500594855532555,0.44083834938345184,0.004167599171873704
66,87,model.23.cv2.0.2,64,64,1x1,0.1,6,0.6098954756338529,0.6099486669710676,-5.319133721470859e-05,0.44500594855532555,0.4449920635594892,1.3884995836321856e-05
67,87,model.23.cv2.1.0.conv,256,64,3x3,0.1,6,0.6098954756338529,0.6094067123393293,0.0004887632945236309,0.44500594855532555,0.44105796168890504,0.003947986866420505
68,87,model.23.cv2.1.1.conv,64,64,3x3,0.1,6,0.6098954756338529,0.609400260974241,0.0004952146596118867,0.44500594855532555,0.44033212587474585,0.004673822680579698
69,87,model.23.cv2.1.2,64,64,1x1,0.1,6,0.6098954756338529,0.609900145022383,-4.669388530054164e-06,0.44500594855532555,0.44502734330487065,-2.1394749545100566e-05
70,87,model.23.cv2.2.0.conv,512,64,3x3,0.1,6,0.6098954756338529,0.6092666503622255,0.0006288252716274423,0.44500594855532555,0.4417660332852688,0.003239915270056737
71,87,model.23.cv2.2.1.conv,64,64,3x3,0.1,6,0.6098954756338529,0.6076994581935986,0.0021960174402543275,0.44500594855532555,0.43185350952273793,0.013152439032587615
72,87,model.23.cv2.2.2,64,64,1x1,0.1,6,0.6098954756338529,0.6098637836349388,3.169199891417396e-05,0.44500594855532555,0.4448439778542598,0.00016197070106577227
73,87,model.23.cv3.0.0.0.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6097817594158514,0.00011371621800149168,0.44500594855532555,0.4449711951681614,3.4753387164132565e-05
74,87,model.23.cv3.0.0.1.conv,128,128,1x1,0.1,13,0.6098954756338529,0.6033344410013946,0.006561034632458385,0.44500594855532555,0.44110801312233344,0.0038979354329921057
75,87,model.23.cv3.0.1.0.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6055376711065079,0.004357804527345022,0.44500594855532555,0.442621460685202,0.002384487870123575
76,87,model.23.cv3.0.1.1.conv,128,128,1x1,0.1,13,0.6098954756338529,0.5988132009377901,0.011082274696062822,0.44500594855532555,0.43842642709243873,0.006579521462886817
77,87,model.23.cv3.0.2,128,80,1x1,0.1,8,0.6098954756338529,0.37635750646466204,0.2335379691691909,0.44500594855532555,0.3035900488032933,0.14141589975203223
78,87,model.23.cv3.1.0.0.conv,256,256,3x3,0.1,26,0.6098954756338529,0.6096561600259917,0.00023931560786127903,0.44500594855532555,0.44479585499032,0.00021009356500556464
79,87,model.23.cv3.1.0.1.conv,256,128,1x1,0.1,13,0.6098954756338529,0.5914898210058193,0.018405654628033674,0.44500594855532555,0.4282026246820655,0.016803323873260056
80,87,model.23.cv3.1.1.0.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6083977578999255,0.0014977177339274839,0.44500594855532555,0.4434663072428394,0.0015396413124861286
81,87,model.23.cv3.1.1.1.conv,128,128,1x1,0.1,13,0.6098954756338529,0.6020709095138628,0.007824566119990162,0.44500594855532555,0.43712906533008966,0.007876883225235887
82,87,model.23.cv3.1.2,128,80,1x1,0.1,8,0.6098954756338529,0.37250289925041635,0.23739257638343658,0.44500594855532555,0.3004524319561467,0.14455351659917887
83,87,model.23.cv3.2.0.0.conv,512,512,3x3,0.1,51,0.6098954756338529,0.6098791068816858,1.6368752167150724e-05,0.44500594855532555,0.44501599013231713,-1.0041576991581813e-05
84,87,model.23.cv3.2.0.1.conv,512,128,1x1,0.1,13,0.6098954756338529,0.609370629023967,0.0005248466098859428,0.44500594855532555,0.44330446482583014,0.0017014837294954122
85,87,model.23.cv3.2.1.0.conv,128,128,3x3,0.1,13,0.6098954756338529,0.6094595889243286,0.0004358867095243246,0.44500594855532555,0.44370197340700435,0.0013039751483212014
86,87,model.23.cv3.2.1.1.conv,128,128,1x1,0.1,13,0.6098954756338529,0.596342610559842,0.013552865074010989,0.44500594855532555,0.42475148245556527,0.020254466099760282
87,87,model.23.cv3.2.2,128,80,1x1,0.1,8,0.6098954756338529,0.373982735675093,0.23591273995875994,0.44500594855532555,0.3014750574545271,0.14353089110079847
